"MGDCGSZ.Code.or.Value","MGDCGSZ.Value.Description","MGDCGSZ.Count","MGDCGSZ.Cumulative","MGDCGSZ.Skip.to.Item"
"11.4 to 169.6","Range of Values",7064,7064,NA
".","Missing",757,7821,NA
