"AUXLR263.Code.or.Value","AUXLR263.Value.Description","AUXLR263.Count","AUXLR263.Cumulative","AUXLR263.Skip.to.Item"
"-9 to 118","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
