"DBQ095Z.Code.or.Value","DBQ095Z.Value.Description","DBQ095Z.Count","DBQ095Z.Cumulative","DBQ095Z.Skip.to.Item"
"1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",5220,5220,""
"2","Lite salt",283,5503,""
"3","Salt substitute",123,5626,""
"4","Doesn't use or add salt products at the table",3669,9295,"DRQSPREP"
"91","Other",12,9307,""
"99","Don't know",226,9533,"DRQSPREP"
".","Missing",417,9950,""
