"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"0.007 to 0.275","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
