"DXXPT51Y.Code.or.Value","DXXPT51Y.Value.Description","DXXPT51Y.Count","DXXPT51Y.Cumulative","DXXPT51Y.Skip.to.Item"
"87.1 to 325.8","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
