"LBCF06LA.Code.or.Value","LBCF06LA.Value.Description","LBCF06LA.Count","LBCF06LA.Cumulative","LBCF06LA.Skip.to.Item"
"0.0586 to 0.246","Range of Values",246,246,NA
".","Missing",18,264,NA
