"DXXPT74Y.Code.or.Value","DXXPT74Y.Value.Description","DXXPT74Y.Count","DXXPT74Y.Cumulative","DXXPT74Y.Skip.to.Item"
"91.1 to 329.2","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
