"DS2TVC.Code.or.Value","DS2TVC.Value.Description","DS2TVC.Count","DS2TVC.Cumulative","DS2TVC.Skip.to.Item"
"0.5 to 8160","Range of Values",1978,1978,NA
".","Missing",7784,9762,NA
