"URDAMCLC.Code.or.Value","URDAMCLC.Value.Description","URDAMCLC.Count","URDAMCLC.Cumulative","URDAMCLC.Skip.to.Item"
"0","At or above the detection limit",2461,2461,NA
"1","Below lower detection limit",5,2466,NA
".","Missing",85,2551,NA
