"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",6813,6813,NA
"2","Spanish",769,7582,NA
"3","English and Spanish",75,7657,NA
"4","Other",2,7659,NA
"5","Asian Languages",93,7752,NA
"6","Asian Languages and English",5,7757,NA
".","Missing",1581,9338,NA
