"AUQ210.Code.or.Value","AUQ210.Value.Description","AUQ210.Count","AUQ210.Cumulative","AUQ210.Skip.to.Item"
"1","Yes",433,433,""
"2","No",4966,5399,"AUQ230"
"7","Refused",2,5401,"AUQ230"
"9","Don't know",6,5407,"AUQ230"
".","Missing",5063,10470,""
