"WBXF070.Code.or.Value","WBXF070.Value.Description","WBXF070.Count","WBXF070.Cumulative","WBXF070.Skip.to.Item"
"2747.9073 to 2747.9073","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
