"AUXRR218.Code.or.Value","AUXRR218.Value.Description","AUXRR218.Count","AUXRR218.Cumulative","AUXRR218.Skip.to.Item"
"-41 to 43","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
