"MPQ120M.Code.or.Value","MPQ120M.Value.Description","MPQ120M.Count","MPQ120M.Cumulative","MPQ120M.Skip.to.Item"
"22","Lower back - right",421,421,NA
".","Missing",4620,5041,NA
