"DR1ICOPP.Code.or.Value","DR1ICOPP.Value.Description","DR1ICOPP.Count","DR1ICOPP.Cumulative","DR1ICOPP.Skip.to.Item"
"0 to 18.228","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
