"DSQISELE.Code.or.Value","DSQISELE.Value.Description","DSQISELE.Count","DSQISELE.Cumulative","DSQISELE.Skip.to.Item"
"0.2 to 100000","Range of Values",1420,1420,NA
".","Missing",6849,8269,NA
