"AUDTYL68.Code.or.Value","AUDTYL68.Value.Description","AUDTYL68.Count","AUDTYL68.Cumulative","AUDTYL68.Skip.to.Item"
"0 to 1.69","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
