"BIXC273K.Code.or.Value","BIXC273K.Value.Description","BIXC273K.Count","BIXC273K.Cumulative","BIXC273K.Skip.to.Item"
"6.84 to 135.48","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
