"WHQ510D.Code.or.Value","WHQ510D.Value.Description","WHQ510D.Count","WHQ510D.Cumulative","WHQ510D.Skip.to.Item"
"13","I get teased about my weight",59,59,NA
".","Missing",1409,1468,NA
