"RFXT086.Code.or.Value","RFXT086.Value.Description","RFXT086.Count","RFXT086.Cumulative","RFXT086.Skip.to.Item"
"743 to 752","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
