"AUXLR125.Code.or.Value","AUXLR125.Value.Description","AUXLR125.Count","AUXLR125.Cumulative","AUXLR125.Skip.to.Item"
"-37 to 80","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
