"LBDTGNSI.Code.or.Value","LBDTGNSI.Value.Description","LBDTGNSI.Count","LBDTGNSI.Cumulative","LBDTGNSI.Skip.to.Item"
"0.07 to 416.13","Range of Values",2364,2364,NA
".","Missing",180,2544,NA
