"WBXP021.Code.or.Value","WBXP021.Value.Description","WBXP021.Count","WBXP021.Cumulative","WBXP021.Skip.to.Item"
"-162.8648 to 148.6147","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
