"SIAINTRP.Code.or.Value","SIAINTRP.Value.Description","SIAINTRP.Count","SIAINTRP.Cumulative","SIAINTRP.Skip.to.Item"
"1","Yes",339,339,NA
"2","No",9417,9756,NA
".","Missing",0,9756,NA
