"OPXSSIZE.Code.or.Value","OPXSSIZE.Value.Description","OPXSSIZE.Count","OPXSSIZE.Cumulative","OPXSSIZE.Skip.to.Item"
"0","Small",34,34,NA
"1","Average",228,262,NA
"2","Large",25,287,NA
"3","Ungradable",10,297,NA
".","Missing",2637,2934,NA
