"DR2ICRYP.Code.or.Value","DR2ICRYP.Value.Description","DR2ICRYP.Count","DR2ICRYP.Cumulative","DR2ICRYP.Skip.to.Item"
"0 to 7293","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
