"AUXRR172.Code.or.Value","AUXRR172.Value.Description","AUXRR172.Count","AUXRR172.Cumulative","AUXRR172.Skip.to.Item"
"-57 to 104","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
