"BIXC245K.Code.or.Value","BIXC245K.Value.Description","BIXC245K.Count","BIXC245K.Cumulative","BIXC245K.Skip.to.Item"
"14.81 to 115.09","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
