"PFD069A.Code.or.Value","PFD069A.Value.Description","PFD069A.Count","PFD069A.Cumulative","PFD069A.Skip.to.Item"
"2 to 28835","Range of Values",839,839,NA
"66666","Since birth",4,843,NA
"77777","Refused",0,843,NA
"99999","Don't know",10,853,NA
".","Missing",8792,9645,NA
