"SSGI1OD2.Code.or.Value","SSGI1OD2.Value.Description","SSGI1OD2.Count","SSGI1OD2.Cumulative","SSGI1OD2.Skip.to.Item"
"0 to 3.5","Range of Values",1032,1032,NA
".","Missing",4,1036,NA
