"DS1TIODI.Code.or.Value","DS1TIODI.Value.Description","DS1TIODI.Count","DS1TIODI.Cumulative","DS1TIODI.Skip.to.Item"
"12.5 to 25000","Range of Values",1136,1136,NA
".","Missing",8408,9544,NA
