"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",18148,18148,NA
"2","Monday",23099,41247,NA
"3","Tuesday",20851,62098,NA
"4","Wednesday",25945,88043,NA
"5","Thursday",10995,99038,NA
"6","Friday",10374,109412,NA
"7","Saturday",2689,112101,NA
".","Missing",0,112101,NA
