"DS1TMAGN.Code.or.Value","DS1TMAGN.Value.Description","DS1TMAGN.Count","DS1TMAGN.Cumulative","DS1TMAGN.Skip.to.Item"
"1 to 1680","Range of Values",1183,1183,NA
".","Missing",8630,9813,NA
