"URXPMA.Code.or.Value","URXPMA.Value.Description","URXPMA.Count","URXPMA.Cumulative","URXPMA.Skip.to.Item"
"0.424 to 19.1","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
