"LBXPFDE.Code.or.Value","LBXPFDE.Value.Description","LBXPFDE.Count","LBXPFDE.Cumulative","LBXPFDE.Skip.to.Item"
"0.14 to 25.2","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
