"RHQ332.Code.or.Value","RHQ332.Value.Description","RHQ332.Count","RHQ332.Cumulative","RHQ332.Skip.to.Item"
"19 to 80","Range of Values",283,283,NA
"777","Refused",0,283,NA
"999","Don't know",9,292,NA
".","Missing",3453,3745,NA
