"MCQ092.Code.or.Value","MCQ092.Value.Description","MCQ092.Count","MCQ092.Cumulative","MCQ092.Skip.to.Item"
"1","Yes",660,660,""
"2","No",7627,8287,"MCQ149"
"7","Refused",0,8287,"MCQ149"
"9","Don't know",79,8366,"MCQ149"
".","Missing",1209,9575,""
