"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 4.356","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
