"URDTNE6.Code.or.Value","URDTNE6.Value.Description","URDTNE6.Count","URDTNE6.Cumulative","URDTNE6.Skip.to.Item"
"0.3229 to 768.2","Range of Values",1118,1118,NA
".","Missing",1487,2605,NA
