"URXMNP.Code.or.Value","URXMNP.Value.Description","URXMNP.Count","URXMNP.Cumulative","URXMNP.Skip.to.Item"
"0.8712 to 454.608","Range of Values",2541,2541,NA
".","Missing",107,2648,NA
