"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"116.5 to 357","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
