"DSQTLYCO.Code.or.Value","DSQTLYCO.Value.Description","DSQTLYCO.Count","DSQTLYCO.Cumulative","DSQTLYCO.Skip.to.Item"
"10 to 15000","Range of Values",575,575,NA
".","Missing",9396,9971,NA
