"DS1IIRON.Code.or.Value","DS1IIRON.Value.Description","DS1IIRON.Count","DS1IIRON.Cumulative","DS1IIRON.Skip.to.Item"
"0.0004 to 260","Range of Values",1145,1145,NA
".","Missing",4761,5906,NA
