"RHQ060.Code.or.Value","RHQ060.Value.Description","RHQ060.Count","RHQ060.Cumulative","RHQ060.Skip.to.Item"
"10 to 71","Range of Values",997,997,NA
"777","Refused",0,997,NA
"999","Don't know",111,1108,NA
".","Missing",2409,3517,NA
