"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",2463,2463,NA
"1","Below lower detection limit",95,2558,NA
".","Missing",115,2673,NA
