"DSQTSUGR.Code.or.Value","DSQTSUGR.Value.Description","DSQTSUGR.Count","DSQTSUGR.Cumulative","DSQTSUGR.Skip.to.Item"
"0 to 128.5","Range of Values",969,969,NA
".","Missing",9180,10149,NA
