"DXXPT43X.Code.or.Value","DXXPT43X.Value.Description","DXXPT43X.Count","DXXPT43X.Cumulative","DXXPT43X.Skip.to.Item"
"642.5 to 1224.6","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
