"LBXEOPCT.Code.or.Value","LBXEOPCT.Value.Description","LBXEOPCT.Count","LBXEOPCT.Cumulative","LBXEOPCT.Skip.to.Item"
"0 to 34.1","Range of Values",8787,8787,NA
".","Missing",1048,9835,NA
