"DXXPT0X.Code.or.Value","DXXPT0X.Value.Description","DXXPT0X.Count","DXXPT0X.Cumulative","DXXPT0X.Skip.to.Item"
"382.3 to 1024.9","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
