"PUD031.Code.or.Value","PUD031.Value.Description","PUD031.Count","PUD031.Cumulative","PUD031.Skip.to.Item"
"1","Yes",1385,1385,""
"2","No",836,2221,"PUD033"
".","Missing",7744,9965,""
