"URDP03LC.Code.or.Value","URDP03LC.Value.Description","URDP03LC.Count","URDP03LC.Cumulative","URDP03LC.Skip.to.Item"
"0","At or above the detection limit",1866,1866,NA
"1","Below lower detection limit",54,1920,NA
".","Missing",727,2647,NA
