"URX2DC.Code.or.Value","URX2DC.Value.Description","URX2DC.Count","URX2DC.Cumulative","URX2DC.Skip.to.Item"
"3.32 to 19.4","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
