"DXXPT85Y.Code.or.Value","DXXPT85Y.Value.Description","DXXPT85Y.Count","DXXPT85Y.Cumulative","DXXPT85Y.Skip.to.Item"
"77.7 to 264","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
