"URXP03.Code.or.Value","URXP03.Value.Description","URXP03.Count","URXP03.Cumulative","URXP03.Skip.to.Item"
"3.5 to 23854.6","Range of Values",2398,2398,NA
".","Missing",240,2638,NA
