"TYXP189.Code.or.Value","TYXP189.Value.Description","TYXP189.Count","TYXP189.Cumulative","TYXP189.Skip.to.Item"
"-298 to 137","Range of Values",679,679,NA
".","Missing",4906,5585,NA
