"LBXV3A.Code.or.Value","LBXV3A.Value.Description","LBXV3A.Count","LBXV3A.Cumulative","LBXV3A.Skip.to.Item"
"0.0161 to 4.26","Range of Values",286,286,NA
".","Missing",565,851,NA
