"CVQ220k.Code.or.Value","CVQ220k.Value.Description","CVQ220k.Count","CVQ220k.Cumulative","CVQ220k.Skip.to.Item"
"1","Yes",40,40,NA
"2","No",413,453,NA
".","Missing",4699,5152,NA
