"SSMFOS.Code.or.Value","SSMFOS.Value.Description","SSMFOS.Count","SSMFOS.Cumulative","SSMFOS.Skip.to.Item"
"0.07 to 0.07","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
