"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",2113,2113,NA
"1","Below lower detection limit",120,2233,NA
".","Missing",199,2432,NA
