"DR1IPOTA.Code.or.Value","DR1IPOTA.Value.Description","DR1IPOTA.Count","DR1IPOTA.Cumulative","DR1IPOTA.Skip.to.Item"
"0 to 7448","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
