"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"5 to 3059","Range of Values",9880,9880,NA
".","Missing",373,10253,NA
