"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"T11","T11",3300,3300,NA
"< blank >","Missing",408,3708,NA
