"HSQ510.Code.or.Value","HSQ510.Value.Description","HSQ510.Count","HSQ510.Cumulative","HSQ510.Skip.to.Item"
"1","Yes",907,907,NA
"2","No",7811,8718,NA
"7","Refused",0,8718,NA
"9","Don't know",15,8733,NA
".","Missing",707,9440,NA
