"CFDCSR.Code.or.Value","CFDCSR.Value.Description","CFDCSR.Count","CFDCSR.Cumulative","CFDCSR.Skip.to.Item"
"0 to 10","Range of Values",1454,1454,NA
".","Missing",233,1687,NA
